,Name,DMSO1,DMSO2,DMSO3,24_hr_ENZA1,24_hr_ENZA2,24_hr_ENZA3,48_hr_ENZA1,48_hr_ENZA2,48_hr_ENZA3,LT_ENZA1,LT_ENZA2,LT_ENZA3
0,13BPG,28.13026072,35.22703158,40.11066588,62.31035914,51.3540579,31.27789884,29.78548729,25.04701324,39.93156523,4.964111846,5.61778667,3.886667782
1,2-Aminobutyrate,1132.470608,1076.289667,1194.116794,1626.896112,1386.165787,1425.237157,1434.852383,1583.384587,1438.727838,1909.31697,2077.927386,2270.309552
2,2-HG,577.996558,602.5320308,656.0276252,661.126012,643.2013823,713.7313457,529.1960805,604.6157484,535.1381417,527.5214705,601.6387745,707.2191368
3,2-Methylpropanoyl-CoA,0.92771702,0.938439246,0.904018857,1.712535959,1.34257831,1.109086107,1.421795551,1.510006712,1.514886574,1.769473224,1.765015103,1.441075611
4,2-Oxoadipate,10.09979494,9.520298221,8.887872717,29.88721492,29.7456692,14.8560486,15.30095339,24.22145952,19.51173178,24.24051304,22.43580087,43.36759786
5,2-Oxosuccinamate,0.816912411,3.447916423,3.701426046,2.48560159,4.019458946,1.62235869,,3.259655867,4.650747859,0.944482586,2.543329018,3.18957009
6,3PG,181.5587101,178.451726,154.0048792,184.6556837,158.5054877,179.2199221,168.7470869,159.1894258,176.8806281,119.1487642,125.1773959,116.6866009
7,4-OH-PheLac,248.8109804,254.9562951,248.5079316,426.8941843,425.5691445,396.9144216,358.3331568,413.1540362,392.2251054,445.5602921,596.3874309,628.113625
8,5-Oxoproline,39080.28776,30894.05553,28041.57657,43554.27536,36551.13781,32816.53959,38835.87272,35472.83202,36105.68588,169101.3165,72394.29257,41497.95057
9,6P-gluconate,10.50158676,18.34428682,23.80575133,18.36012337,15.18865686,18.3062599,10.11064619,11.75035085,21.68490767,133.5499313,231.287474,166.4552944
10,A,1006.08837,1048.616613,960.4922569,909.0904831,721.6677148,688.8278196,759.0579184,817.6417719,670.526402,2351.50983,2777.225021,2703.437563
11,a-KG,298.8522361,309.9953257,372.3650913,616.6730627,481.255102,405.8967578,285.1806674,304.1178534,361.7991831,549.6143428,562.7916127,524.1765222
12,Ac-carnitine,85610.27663,82268.1572,88125.34939,154148.0622,135090.7637,130970.5903,134449.2948,145520.6805,142058.3852,102727.8026,113447.7463,121184.9381
13,Ac-choline,9124.388707,8608.09767,9168.19901,14209.20407,12493.28749,12124.75898,13353.2576,14873.78299,13082.96861,15240.22872,18990.37633,20417.85635
